"name","weekday","income"
Meander Smith,Thursday ,56688841
Charlene Locksley,Thursday ,102081558
Dean Straight,Thursday ,182913508
Heather McBadden,Thursday ,289587876
Albert Ringer,Thursday ,405676715
Dean Straight,Friday   ,176048825
Ann Dull,Friday   ,37433122
Dirk Stringer,Friday   ,672023524
Cheryl Carson,Friday   ,80473505
Michael O'Leary,Friday   ,142326764
Livia Karsen,Friday   ,172939429
Heather McBadden,Friday   ,245868794
Reginald Blotchet-Halls,Friday   ,96796982
Albert Ringer,Friday   ,357492149
Abraham Bennet,Friday   ,233935361
Johnson White,Friday   ,91757930
Charlene Locksley,Friday   ,97761375
Innes del Castillo,Friday   ,231816498
Morningstar Greene,Friday   ,62929145
Sylvia Panteley,Friday   ,91390801
Meander Smith,Friday   ,53551958
Anne Ringer,Friday   ,51753352
Stearns MacFeather,Friday   ,28022436
Sheryl Hunter,Friday   ,158669557
Marjorie Green,Friday   ,99954937
Burt Gringlesby,Friday   ,109360163
Michel DeFrance,Friday   ,473980679
Livia Karsen,Saturday ,142421335
Dirk Stringer,Saturday ,724561952
Reginald Blotchet-Halls,Saturday ,92451664
Anne Ringer,Saturday ,48579238
Ann Dull,Saturday ,37658782
Albert Ringer,Saturday ,359055422
Burt Gringlesby,Saturday ,108212069
Michel DeFrance,Saturday ,480574641
Dean Straight,Saturday ,176094744
Heather McBadden,Saturday ,260891531
Charlene Locksley,Saturday ,100507642
Innes del Castillo,Saturday ,245765313
Johnson White,Saturday ,91955960
Cheryl Carson,Saturday ,69224918
Abraham Bennet,Saturday ,219357051
Michael O'Leary,Saturday ,131118669
Sylvia Panteley,Saturday ,87097890
Sheryl Hunter,Saturday ,143802265
Morningstar Greene,Saturday ,64598715
Meander Smith,Saturday ,53094398
Marjorie Green,Saturday ,95303143
Stearns MacFeather,Saturday ,27623848
Dean Straight,Sunday   ,176873006
Johnson White,Sunday   ,88933984
Heather McBadden,Sunday   ,266458385
Michael O'Leary,Sunday   ,125981635
Abraham Bennet,Sunday   ,232328748
Innes del Castillo,Sunday   ,244679492
Meander Smith,Sunday   ,56678280
Charlene Locksley,Sunday   ,93745117
Albert Ringer,Sunday   ,362985487
Michel DeFrance,Sunday   ,438321489
Sylvia Panteley,Sunday   ,95337213
Cheryl Carson,Sunday   ,69553596
Burt Gringlesby,Sunday   ,112782281
Sheryl Hunter,Sunday   ,148514539
Stearns MacFeather,Sunday   ,27431435
Marjorie Green,Sunday   ,104815534
Morningstar Greene,Sunday   ,68473054
Dirk Stringer,Sunday   ,698820601
Anne Ringer,Sunday   ,49050829
Reginald Blotchet-Halls,Sunday   ,80496473
Ann Dull,Sunday   ,34138288
Livia Karsen,Sunday   ,137975385
